文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,cplex状态,
OR5x100-0.75_7.dat,61538,61538,Optimal,0.0,0,Optimal,
OR5x100-0.75_8.dat,61520,61520,Optimal,0.0,0,Optimal,
OR5x100-0.75_9.dat,59453,59453,Optimal,0.0,0,Optimal,
OR5x100-0.75_10.dat,59965,59965,Optimal,0.0,1,Optimal,
OR5x250-0.25_1.dat,59312,59312,Optimal,0.0,14,Optimal,
OR5x250-0.25_2.dat,61472,61472,Optimal,0.0,36,Optimal,
OR5x250-0.25_3.dat,62130,62130,Optimal,0.0,6,Optimal,
OR5x250-0.25_4.dat,59463,59463,Optimal,2.5362838737169754E-4,100,Feasible,
OR5x250-0.25_5.dat,58951,58951,Optimal,0.0,52,Optimal,
OR5x250-0.25_6.dat,60077,60077,Optimal,2.4001327385307492E-4,100,Feasible,
OR5x250-0.25_7.dat,60414,60414,Optimal,0.0,33,Optimal,
OR5x250-0.25_8.dat,61472,61472,Optimal,0.0,48,Optimal,
OR5x250-0.25_9.dat,61885,61885,Optimal,0.0,20,Optimal,
OR5x250-0.25_10.dat,58959,58959,Optimal,0.0,5,Optimal,
OR5x250-0.50_1.dat,109109,109109,Optimal,0.0,36,Optimal,
OR5x250-0.50_2.dat,109841,109841,Optimal,0.0,10,Optimal,
OR5x250-0.50_3.dat,108508,108508,Optimal,0.0,48,Optimal,
OR5x250-0.50_4.dat,109383,109383,Optimal,0.0,39,Optimal,
OR5x250-0.50_5.dat,110720,110720,Optimal,1.3720080629365427E-4,100,Feasible,
OR5x250-0.50_6.dat,110256,110256,Optimal,0.0,42,Optimal,
OR5x250-0.50_7.dat,109040,109040,Optimal,0.0,39,Optimal,
OR5x250-0.50_8.dat,109042,109042,Optimal,0.0,60,Optimal,
OR5x250-0.50_9.dat,109971,109971,Optimal,0.0,29,Optimal,
OR5x250-0.50_10.dat,107058,107058,Optimal,0.0,29,Optimal,
OR5x250-0.75_1.dat,149665,149665,Optimal,0.0,29,Optimal,
OR5x250-0.75_2.dat,155944,155944,Optimal,0.0,22,Optimal,
OR5x250-0.75_3.dat,149334,149334,Optimal,0.0,32,Optimal,
OR5x250-0.75_4.dat,152130,152130,Optimal,0.0,22,Optimal,
OR5x250-0.75_5.dat,150353,150353,Optimal,0.0,28,Optimal,
OR5x250-0.75_6.dat,150045,150045,Optimal,0.0,1,Optimal,
OR5x250-0.75_7.dat,148607,148607,Optimal,0.0,1,Optimal,
OR5x250-0.75_8.dat,149782,149782,Optimal,0.0,38,Optimal,
OR5x250-0.75_9.dat,155075,155075,Optimal,0.0,9,Optimal,
OR5x250-0.75_10.dat,154668,154668,Optimal,0.0,29,Optimal,
OR5x500-0.25_1.dat,120134,120148,Optimal,4.986866588439159E-4,100,Feasible,
OR5x500-0.25_2.dat,117864,117879,Optimal,3.0892241392756296E-4,100,Feasible,
OR5x500-0.25_3.dat,121116,121131,Optimal,4.883347261386453E-4,100,Feasible,
OR5x500-0.25_4.dat,120787,120804,Optimal,5.463672835405707E-4,100,Feasible,
OR5x500-0.25_5.dat,122319,122319,Optimal,3.9278030532876034E-4,100,Feasible,
OR5x500-0.25_6.dat,122009,122024,Optimal,5.640814128017516E-4,100,Feasible,
OR5x500-0.25_7.dat,119105,119127,Optimal,6.737878290801374E-4,100,Feasible,
OR5x500-0.25_8.dat,120568,120568,Optimal,3.632208281712181E-4,100,Feasible,
OR5x500-0.25_9.dat,121566,121586,Optimal,5.710031285917018E-4,100,Feasible,
OR5x500-0.25_10.dat,120678,120717,Optimal,7.78977947935063E-4,100,Feasible,
OR5x500-0.50_1.dat,218422,218428,Optimal,2.287692309103105E-4,100,Feasible,
OR5x500-0.50_2.dat,221191,221202,Optimal,2.3294816237377558E-4,100,Feasible,
OR5x500-0.50_3.dat,217534,217542,Optimal,2.675541096239817E-4,100,Feasible,
OR5x500-0.50_4.dat,223558,223560,Optimal,2.7823606556577184E-4,100,Feasible,
OR5x500-0.50_5.dat,218966,218966,Optimal,2.48922867700281E-4,100,Feasible,
OR5x500-0.50_6.dat,220497,220530,Optimal,4.1964810543704256E-4,100,Feasible,
OR5x500-0.50_7.dat,219986,219989,Optimal,2.546056580598942E-4,100,Feasible,
OR5x500-0.50_8.dat,218189,218215,Optimal,3.341895678328222E-4,100,Feasible,
OR5x500-0.50_9.dat,216976,216976,Optimal,2.4726503867974087E-4,100,Feasible,
OR5x500-0.50_10.dat,219717,219719,Optimal,3.1167478341203697E-4,100,Feasible,
OR5x500-0.75_1.dat,295828,295828,Optimal,1.2565892531899735E-4,100,Feasible,
OR5x500-0.75_2.dat,308083,308086,Optimal,1.5783905018208627E-4,100,Feasible,
